comments,play_num,title,timestamp,length,video_review,favorites,video_id
75,6903,【子怡】一枪击中你的心 ▶▷『KILL THIS LOVE』,1560933031,01:36,51,237,56068077
456,230783,【子怡】小鹿乱撞❤大学篮球场羞耻乱撞~只想撞进你心里！,1560492841,01:19,307,6990,55543318
57,10467,【子怡】(G)I-DLE♦Senorita♢极速变装双重体验~你选？,1557216037,01:54,40,890,51700120
39,2916,【子怡】堪堪  正逢初春时,1556179248,02:41,44,196,50406280
148,26994,【子怡】阿房宫赋＊高考背诵课文『原创编舞 』,1555380008,02:54,160,1148,49470550
56,18204,【子怡】不染：练习室版,1554854431,01:40,17,857,48846639
93,7043,【子怡】触摸天空☆热爱B站 无法取代【BDF2019】,1554708204,02:18,47,288,48695588
30,4077,【子怡】‘’I LOVE YOU‘’❤EXID~在线比心,1551081649,03:17,65,165,44647886
66,9853,【子怡】IZONE❤La Vie en Rose◆玫瑰人生◆,1550207086,02:31,67,487,43622712
172,27774,【子怡】❉《丽人行》❉古典汉唐❤贺岁作,1549168782,02:20,70,1144,42505017
171,12488,【子怡】梅雪酒剑歌❈绸扇【原创编舞】,1547532026,01:59,102,674,40768651
280,140595,【子怡】改革春风吹满地×2019新年惊喜！沙雕up×原创编舞,1546847814,01:20,291,3274,40153784
122,43065,【子怡】不开心就要消你呀❤欢乐充电【原创编舞】,1546241335,02:06,48,2046,39513484
92,11670,【子怡】千里邀月❤请来领取你的小仙女！,1546045987,02:41,73,721,39259752
70,11818,【子怡】JENNIE★SOLO★韩舞性感高跟初尝试,1544862601,01:02,40,657,38175360
57,4786,【子怡】寄明月☽ 将相思寄你心头♡,1544523632,02:26,38,290,37938721
105,7858,【子怡】原创编舞▶绝代风华◀天下3十周年主题曲,1543978804,02:11,63,362,37439087
148,14279,【子怡】夜宴风波❀醉生梦死❀（音阙诗听）,1543629602,03:21,100,649,37123362
71,12071,【子怡】江南夜❀高跟旗袍❀多情长想你的模样,1542783062,03:32,88,994,36433478
115,23077,【子怡】原创编舞♡浪人琵琶♡对你情有独钟,1542615776,04:18,126,834,36311474
23,3219,【子怡】一花依世界& 未来与你们一起,1541762719,01:56,25,153,35604037
110,91577,【子怡】原创编舞【出山】一瞬三年五载,1541150238,01:48,81,1382,35124574
30,2057,【子怡】月圆花好-浮云散 明月照人来 来到我心里,1540546850,02:36,9,50,34640734
51,11693,【子怡】一生等你 ♡ 原创古风编舞 ♡,1539079518,01:57,36,538,33485448
64,16971,【子怡】原创编舞 ஐ不 染ஐ古风,1538192643,02:11,53,378,32678838
